alpha,rt_none,rt_uni,rt_tgt,rt_uni_exit,rt_tgt_exit,drop_man,drop_fin,drop_ser,drop_agg,ratio_fin_agg,t_rec_agg,t_rec_kl,lag,minM
-0.03785463285484582,36.480000000000004,65.24,13.88,41.92,12.92,6.052808617204671,15.328719483306614,3.6411381974541497,7.861542658739362,1.9498360752728716,22.68,34.24,11.560000000000002,1.0
-0.0397557181145735,44.92,57.64,14.32,46.08,13.120000000000001,5.499443997433749,19.69176574148075,3.2003777102610327,8.35152604334336,2.3578643758377793,16.8,44.64,27.84,1.0
-0.01175764307231738,39.4,120.0,16.2,85.72,14.88,2.749814560833944,20.286068946195904,3.0605940965445435,7.3122454311667004,2.7742598545354316,12.92,35.28,22.36,1.0
-0.036187152204881355,42.2,55.32,17.080000000000002,43.84,14.8,7.026300059790014,23.990536028713684,3.354382318864791,10.302014677392991,2.3287227576329452,17.8,40.08,22.279999999999998,1.0
-0.02498694166949089,41.68,88.08,13.84,51.36,12.84,4.651169459724842,18.70854930724171,3.3346501044607275,8.102422305876713,2.309006936564185,17.52,36.24,18.720000000000002,1.0
-0.028952225260520062,43.88,68.64,15.88,47.36,14.120000000000001,5.650621182638409,20.111489732757036,4.373542037833549,9.079292723913314,2.2150943189425747,17.8,39.96,22.16,1.0
-0.014644856503996006,38.76,87.8,18.84,43.6,27.76,4.086765244683984,26.79114196063455,5.356955268276238,9.682953108812004,2.7668358670717077,15.08,38.32,23.240000000000002,1.0
-0.014529758241700302,35.4,120.0,13.52,79.36,12.8,8.35181179107882,16.53589797076478,5.373625489995793,9.5619816754745,1.7293379690506683,19.32,33.6,14.280000000000001,1.0
-0.03631894080466411,41.2,75.48,12.64,48.72,12.040000000000001,6.363751216797249,11.753807143981444,5.83272534926851,7.637363200374312,1.5389875845377343,18.240000000000002,31.84,13.599999999999998,1.0
-0.02168694420206251,39.28,97.04,14.52,52.32,13.32,8.9886487497143,15.291465562060852,3.8315808925695665,8.762726628916136,1.7450579265591282,22.16,38.44,16.279999999999998,1.0
